HebName,Name,ID,EngName,Region,SubDistrict,NaturalZone,StausMunicipal,Metropolitan,Religion,Pop2015,JewsOthers,Jews,Arebs,YearEst,TypeSuratYeshuv,Affiliation ,Coordinate,Hight,RegionalComittee,Police,YearUpdate,Link
"אזור אשקלון מ""א 36","אזור אשקלון מ""א 36",1924,no name,6,61,614,36,,,,,,,,530,,1663061620,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1924
"אזור אשקלון מ""א 37","אזור אשקלון מ""א 37",1926,no name,6,61,614,37,,,,,,,,530,,1637060210,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1926
"אזור באר שבע מ""א 41","אזור באר שבע מ""א 41",1937,no name,6,62,623,41,,,,,,,,530,,1807058120,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1937
"אזור באר שבע מ""א 51","אזור באר שבע מ""א 51",1938,no name,6,62,623,51,,,,,,,,530,,2240057100,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1938
"אזור באר שבע של""ש","אזור באר שבע של""ש",1939,no name,6,62,623,,,,,,,,,530,,1974056740,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1939
"אזור בשור מ""א 38","אזור בשור מ""א 38",1933,no name,6,62,622,38,,,,,,,,530,,1457057060,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1933
"אזור בשור מ""א 39","אזור בשור מ""א 39",1935,no name,6,62,622,39,,,,,,,,530,,1505059540,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1935
"אזור בשור מ""א 42","אזור בשור מ""א 42",1934,no name,6,62,622,42,,,,,,,,530,,1608057600,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1934
"אזור גלילות מ""א 19","אזור גלילות מ""א 19",1907,no name,5,51,511,19,,,,,,,,530,,,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1907
"אזור גרר מ""א 39","אזור גרר מ""א 39",1931,no name,6,62,621,39,,,,,,,,530,,1572058820,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1931
"אזור גרר מ""א 41","אזור גרר מ""א 41",1929,no name,6,62,621,41,,,,,,,,530,,1725058920,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1929
"אזור גרר מ""א 42","אזור גרר מ""א 42",1930,no name,6,62,621,42,,,,,,,,530,,1679059410,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1930
"אזור זכרון יעקב מ""א 15","אזור זכרון יעקב מ""א 15",1866,no name,3,32,322,15,,,,,,,,530,,2001072840,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1866
"אזור זכרון יעקב של""ש","אזור זכרון יעקב של""ש",1867,no name,3,32,322,,,,,,,,,530,,2040072880,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1867
"אזור חדרה מ""א 14","אזור חדרה מ""א 14",1873,no name,3,32,324,14,,,,,,,,530,,2012070620,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1873
"אזור חדרה מ""א 15","אזור חדרה מ""א 15",1872,no name,3,32,324,15,,,,,,,,530,,1932070920,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1872
"אזור חדרה מ""א 45","אזור חדרה מ""א 45",1871,no name,3,32,324,45,,,,,,,,530,,1999071630,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1871
"אזור חדרה של""ש","אזור חדרה של""ש",1874,no name,3,32,324,,,,,,,,,530,,2029069980,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1874
"אזור חולון של""ש","אזור חולון של""ש",1909,no name,5,53,513,,,,,,,,,530,,1817066000,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1909
"אזור חיפה מ""א 12","אזור חיפה מ""א 12",1860,no name,3,31,311,12,,,,,,,,530,,2104074200,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1860
"אזור חיפה של""ש","אזור חיפה של""ש",1862,no name,3,31,311,,,,,,,,,530,,2088073220,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1862
"אזור חצור מ""א 1","אזור חצור מ""א 1",1813,no name,2,21,213,1,,,,,,,,530,,2545075990,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1813
"אזור חצור מ""א 55","אזור חצור מ""א 55",1814,no name,2,21,213,55,,,,,,,,530,,2584076640,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1814
"אזור חצור של""ש","אזור חצור של""ש",1815,no name,2,21,213,,,,,,,,,530,,2549076740,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1815
"אזור יחיעם מ""א 2","אזור יחיעם מ""א 2",1848,no name,2,24,243,2,,,,,,,,530,,2386075990,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1848
"אזור יחיעם מ""א 4","אזור יחיעם מ""א 4",1846,no name,2,24,243,4,,,,,,,,530,,2180076770,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1846
"אזור יחיעם מ""א 52","אזור יחיעם מ""א 52",1847,no name,2,24,243,52,,,,,,,,530,,2283076610,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1847
"אזור יחיעם מ""א 56","אזור יחיעם מ""א 56",1849,no name,2,24,243,56,,,,,,,,530,,2214075970,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1849
"אזור יחיעם של""ש","אזור יחיעם של""ש",1850,no name,2,24,243,,,,,,,,,530,,2325076540,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1850
"אזור ים המלח מ""א 51","אזור ים המלח מ""א 51",1942,no name,6,62,624,51,,,,,,,,530,,2340056200,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1942
"אזור יקנעם מ""א 13","אזור יקנעם מ""א 13",1836,no name,2,23,235,13,,,,,,,,530,,2121072800,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1836
"אזור יקנעם מ""א 9","אזור יקנעם מ""א 9",1835,no name,2,23,235,9,,,,,,,,530,,2115073310,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1835
"אזור כינרות מ""א 3","אזור כינרות מ""א 3",1805,no name,2,22,221,3,,,,,,,,530,,2481074680,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1805
"אזור כנרות מ""א 1","אזור כנרות מ""א 1",1816,no name,2,22,221,1,,,,,,,,530,,2528075660,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1816
"אזור כנרות מ""א 6","אזור כנרות מ""א 6",1817,no name,2,22,221,6,,,,,,,,530,,2610074110,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1817
"אזור כנרות של""ש","אזור כנרות של""ש",1818,no name,2,22,221,,,,,,,,,530,,0,0,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1818
"אזור כרמיאל מ""א 2","אזור כרמיאל מ""א 2",1843,no name,2,24,242,2,,,,,,,,530,,2339075980,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1843
"אזור כרמיאל מ""א 56","אזור כרמיאל מ""א 56",1844,no name,2,24,242,56,,,,,,,,530,,2327075530,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1844
"אזור כרמיאל של""ש","אזור כרמיאל של""ש",1845,no name,2,24,242,,,,,,,,,530,,2369075930,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1845
"אזור לכיש מ""א 34","אזור לכיש מ""א 34",1919,no name,6,61,612,34,,,,,,,,530,,1769061100,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1919
"אזור לכיש מ""א 35","אזור לכיש מ""א 35",1917,no name,6,61,612,35,,,,,,,,530,,1870061370,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1917
"אזור לכיש מ""א 41","אזור לכיש מ""א 41",1920,no name,6,61,612,41,,,,,,,,530,,1888059260,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1920
"אזור לכיש מ""א 50","אזור לכיש מ""א 50",1918,no name,6,61,612,50,,,,,,,,530,,1836060440,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1918
"אזור מודיעין מ""א 25","אזור מודיעין מ""א 25",1887,no name ,4,43,431,25,,,,,,,,530,,2311074610,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1887
"אזור מודיעין מ""א 30","אזור מודיעין מ""א 30",1890,no name ,4,43,431,30,,,,,,,,530,,2010069770,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1890
"אזור מודיעין של""ש","אזור מודיעין של""ש",1895,no name ,4,43,431,,,,,,,,,530,,1833067310,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1895
"אזור מלאכי מ""א 33","אזור מלאכי מ""א 33",1911,no name,6,61,611,33,,,,,,,,530,,1755063200,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1911
"אזור מלאכי מ""א 34","אזור מלאכי מ""א 34",1915,no name,6,61,611,34,,,,,,,,530,,1766062160,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1915
"אזור מלאכי מ""א 35","אזור מלאכי מ""א 35",1913,no name,6,61,611,35,,,,,,,,530,,1816062200,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1913
"אזור מלאכי מ""א 50","אזור מלאכי מ""א 50",1914,no name,6,61,611,50,,,,,,,,530,,1780061800,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1914
"אזור נהרייה מ""א 4","אזור נהרייה מ""א 4",1855,no name,2,24,245,4,,,,,,,,530,,2125076910,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1855
"אזור נהרייה של""ש","אזור נהרייה של""ש",1856,no name,2,24,245,,,,,,,,,530,,2131076190,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1856
"אזור עכו מ""א 4","אזור עכו מ""א 4",1858,no name,2,24,246,4,,,,,,,,530,,2128075480,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1858
"אזור עכו מ""א 56","אזור עכו מ""א 56",1857,no name,2,24,246,56,,,,,,,,530,,2128075670,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1857
"אזור עכו של""ש","אזור עכו של""ש",1859,no name,2,24,246,,,,,,,,,530,,2127075860,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1859
"אזור פתח תקווה מ""א 20","אזור פתח תקווה מ""א 20",1888,no name,4,42,422,20,,,,,,,,530,,1933066570,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1888
"אזור פתח תקווה מ""א 25","אזור פתח תקווה מ""א 25",1886,no name,4,42,422,25,,,,,,,,530,,1984065740,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1886
"אזור פתח תקווה של""ש","אזור פתח תקווה של""ש",1889,no name,4,42,422,,,,,,,,,530,,1921066200,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1889
"אזור ראשל""צ מ""א 27","אזור ראשל""צ מ""א 27",1903,no name,4,44,442,27,,,,,,,,530,,1753064760,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1903
"אזור ראשל""צ של""ש","אזור ראשל""צ של""ש",1904,no name,4,44,442,,,,,,,,,530,,1755065150,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1904
"אזור רחובות מ""א 28","אזור רחובות מ""א 28",1896,no name,4,44,441,28,,,,,,,,530,,1803064000,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1896
"אזור רחובות מ""א 29","אזור רחובות מ""א 29",1899,no name,4,44,441,29,,,,,,,,530,,1721063800,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1899
"אזור רחובות מ""א 30","אזור רחובות מ""א 30",1898,no name,4,44,441,30,,,,,,,,530,,1843064140,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1898
"אזור רחובות מ""א 31","אזור רחובות מ""א 31",1901,no name,4,44,441,31,,,,,,,,530,,1832063450,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1901
"אזור רחובות מ""א 32","אזור רחובות מ""א 32",1897,no name,4,44,441,32,,,,,,,,530,,1745063800,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1897
"אזור רחובות של""ש","אזור רחובות של""ש",1902,no name,4,44,441,,,,,,,,,530,,1721064500,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1902
"אזור רמלה מ""א 25","אזור רמלה מ""א 25",1892,no name,4,43,432,25,,,,,,,,530,,0,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1892
"אזור רמלה מ""א 30","אזור רמלה מ""א 30",1891,no name,4,43,432,30,,,,,,,,530,,1891064330,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1891
"אזור רמלה מ""א 40","אזור רמלה מ""א 40",1893,no name,4,43,432,40,,,,,,,,530,,1865065340,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1893
"אזור רמלה של""ש","אזור רמלה של""ש",1894,no name,4,43,432,,,,,,,,,530,,1850065140,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1894
"אזור רמת גן של""ש","אזור רמת גן של""ש",1908,no name,5,52,512,,,,,,,,,530,,1864066110,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1908
"אזור שפרעם מ""א 56","אזור שפרעם מ""א 56",1841,no name,2,24,241,56,,,,,,,,530,,2266075010,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1841
